ID,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_product,prior_purchases,product_importance,gender,discount_percentage,weight_in_grams,reached_on_time,customer_rating_string,weight_in_kg_binned,prior_purchases_binned,user_segmentation
1878,E,Ship,2,2,4467570,3,high,F,60,2053,No,Dissatisfied,1-2.5kg,2-4,Bronze
1879,D,Ship,3,1,2217480,2,medium,F,61,1509,No,Dissatisfied,1-2.5kg,2-4,Bronze
1880,E,Ship,3,1,2331615,2,low,F,63,1246,No,Dissatisfied,1-2.5kg,2-4,Bronze
1881,A,Ship,3,4,4353435,3,low,F,55,2923,No,Satisfied,2.5-4kg,2-4,Bronze
1882,B,Ship,3,1,3228390,2,medium,F,49,3573,No,Dissatisfied,2.5-4kg,2-4,Bronze
1883,C,Ship,4,1,3277305,10,medium,M,37,3402,No,Dissatisfied,2.5-4kg,6-10,Gold
1884,E,Ship,3,5,3929505,10,medium,M,41,3015,No,Satisfied,2.5-4kg,6-10,Gold
1885,D,Ship,5,4,4386045,3,medium,F,51,3415,No,Satisfied,2.5-4kg,2-4,Bronze
1886,E,Ship,5,3,2005515,2,low,F,30,1068,No,Neutral,1-2.5kg,2-4,Bronze
1887,A,Ship,3,4,2902290,2,low,F,35,1183,No,Satisfied,1-2.5kg,2-4,Bronze
1888,B,Ship,3,5,3309915,3,low,F,58,3231,No,Satisfied,2.5-4kg,2-4,Bronze
1889,C,Ship,3,2,2755545,10,medium,F,4,1665,No,Dissatisfied,1-2.5kg,6-10,Gold
1890,E,Ship,3,4,3097950,10,medium,F,38,2018,No,Satisfied,1-2.5kg,6-10,Gold
1891,D,Ship,3,4,3097950,7,medium,F,51,2391,No,Satisfied,1-2.5kg,6-10,Gold
1892,E,Road,4,5,3880590,10,medium,F,44,3860,No,Satisfied,2.5-4kg,6-10,Gold
1893,A,Road,5,1,4027335,10,medium,F,57,2377,No,Dissatisfied,1-2.5kg,6-10,Gold
1894,B,Road,4,3,3097950,10,low,M,34,3935,No,Neutral,2.5-4kg,6-10,Gold
1895,C,Road,3,2,2739240,3,low,M,15,1862,No,Dissatisfied,1-2.5kg,2-4,Bronze
1896,E,Road,2,1,3097950,3,low,M,59,2108,No,Dissatisfied,1-2.5kg,2-4,Bronze
1897,D,Road,2,3,2771850,8,low,M,61,1240,No,Neutral,1-2.5kg,6-10,Gold
1898,E,Road,4,1,3684930,7,low,M,41,2964,No,Dissatisfied,2.5-4kg,6-10,Gold
1899,A,Road,5,2,4174080,7,low,F,41,2758,No,Dissatisfied,2.5-4kg,6-10,Gold
1900,B,Road,2,5,1695720,7,low,M,12,1064,No,Satisfied,1-2.5kg,6-10,Gold
1901,C,Road,4,4,3130560,3,medium,M,39,2943,No,Satisfied,2.5-4kg,2-4,Bronze
1902,E,Road,5,2,3179475,6,low,M,38,1338,No,Dissatisfied,1-2.5kg,4-6,Silver
1903,D,Road,3,5,4418655,4,low,M,51,1134,No,Satisfied,1-2.5kg,2-4,Bronze
1904,E,Road,2,1,4826280,5,medium,M,29,1648,No,Dissatisfied,1-2.5kg,4-6,Silver
1905,A,Road,4,5,4516485,5,medium,F,32,1055,No,Satisfied,1-2.5kg,4-6,Silver
1906,B,Road,2,4,2282700,3,low,M,32,1819,No,Satisfied,1-2.5kg,2-4,Bronze
1907,C,Road,4,1,2413140,3,high,F,23,1814,No,Dissatisfied,1-2.5kg,2-4,Bronze
1908,E,Road,4,5,3880590,2,low,F,1,2644,No,Satisfied,2.5-4kg,2-4,Bronze
1909,D,Road,5,3,3587100,3,low,M,37,2294,No,Neutral,1-2.5kg,2-4,Bronze
1910,E,Road,4,4,3652320,3,low,M,29,3623,No,Satisfied,2.5-4kg,2-4,Bronze
1911,A,Road,4,5,2641410,3,low,F,31,1170,No,Satisfied,1-2.5kg,2-4,Bronze
1912,B,Road,4,2,3293610,4,low,F,1,3602,No,Dissatisfied,2.5-4kg,2-4,Bronze
1913,C,Road,3,5,3684930,3,medium,M,5,3914,No,Satisfied,2.5-4kg,2-4,Bronze
1914,E,Flight,4,3,4011030,2,low,M,60,2086,No,Neutral,1-2.5kg,2-4,Bronze
1915,D,Flight,5,2,3636015,3,low,F,51,3687,No,Dissatisfied,2.5-4kg,2-4,Bronze
1916,E,Flight,5,2,2543580,2,medium,M,19,1311,No,Dissatisfied,1-2.5kg,2-4,Bronze
1917,A,Flight,2,5,3081645,2,low,M,38,3708,No,Satisfied,2.5-4kg,2-4,Bronze
1918,B,Flight,5,4,3945810,3,high,F,2,3564,No,Satisfied,2.5-4kg,2-4,Bronze
1919,C,Flight,4,5,3375135,2,medium,F,49,3736,No,Satisfied,2.5-4kg,2-4,Bronze
1920,E,Flight,3,3,2625105,3,low,F,24,1920,No,Neutral,1-2.5kg,2-4,Bronze
1921,D,Flight,4,5,3782760,2,low,F,21,3128,No,Satisfied,2.5-4kg,2-4,Bronze
1922,E,Flight,6,4,3163170,3,low,M,10,2554,No,Satisfied,2.5-4kg,2-4,Bronze
1923,A,Flight,5,5,2625105,3,medium,F,59,1037,No,Satisfied,1-2.5kg,2-4,Bronze
1924,B,Flight,4,1,4386045,3,medium,F,23,3652,No,Dissatisfied,2.5-4kg,2-4,Bronze
1925,C,Flight,3,3,3570795,2,low,F,41,3932,No,Neutral,2.5-4kg,2-4,Bronze
1926,E,Flight,5,2,2625105,2,medium,F,59,1859,No,Dissatisfied,1-2.5kg,2-4,Bronze
1927,D,Flight,3,1,4304520,4,low,M,33,3561,No,Dissatisfied,2.5-4kg,2-4,Bronze
1928,E,Flight,5,2,2462055,3,medium,M,20,1395,No,Dissatisfied,1-2.5kg,2-4,Bronze
1929,A,Flight,5,5,2885985,2,high,F,31,2000,No,Satisfied,1-2.5kg,2-4,Bronze
1930,B,Flight,2,5,3146865,5,medium,F,13,2882,No,Satisfied,2.5-4kg,4-6,Silver
1931,C,Flight,4,4,3456660,4,medium,M,16,2494,No,Satisfied,1-2.5kg,2-4,Bronze
1932,E,Flight,4,1,3424050,2,medium,F,7,3405,No,Dissatisfied,2.5-4kg,2-4,Bronze
1933,D,Flight,4,2,2674020,2,medium,F,43,1976,No,Dissatisfied,1-2.5kg,2-4,Bronze
1934,E,Flight,4,2,3570795,3,low,M,2,3402,No,Dissatisfied,2.5-4kg,2-4,Bronze
1935,A,Flight,4,4,3521880,4,medium,M,27,3740,No,Satisfied,2.5-4kg,2-4,Bronze
1936,B,Ship,5,2,2837070,2,medium,M,54,1091,No,Dissatisfied,1-2.5kg,2-4,Bronze
1937,C,Ship,3,5,3244695,2,low,M,46,2728,No,Satisfied,2.5-4kg,2-4,Bronze
1938,E,Ship,3,4,2951205,3,low,M,45,2486,No,Satisfied,1-2.5kg,2-4,Bronze
1939,D,Ship,3,2,3587100,3,low,M,22,2818,No,Dissatisfied,2.5-4kg,2-4,Bronze
1940,E,Ship,3,1,3505575,2,low,F,47,3678,No,Dissatisfied,2.5-4kg,2-4,Bronze
1941,A,Ship,4,5,4043640,4,high,F,56,2840,No,Satisfied,2.5-4kg,2-4,Bronze
1942,B,Ship,3,2,2983815,4,low,M,49,2414,No,Dissatisfied,1-2.5kg,2-4,Bronze
1943,C,Ship,4,2,3163170,4,medium,F,26,3818,No,Dissatisfied,2.5-4kg,2-4,Bronze
1944,E,Ship,4,4,3652320,2,high,F,31,2084,No,Satisfied,1-2.5kg,2-4,Bronze
1945,D,Ship,4,4,3000120,3,low,F,52,3128,No,Satisfied,2.5-4kg,2-4,Bronze
1946,E,Ship,4,1,2608800,2,low,M,28,1276,No,Dissatisfied,1-2.5kg,2-4,Bronze
1947,A,Ship,5,1,2967510,3,low,M,8,3580,No,Dissatisfied,2.5-4kg,2-4,Bronze
1948,B,Ship,3,2,1891380,2,low,F,22,1430,No,Dissatisfied,1-2.5kg,2-4,Bronze
1949,C,Ship,4,4,2771850,4,low,M,39,1868,No,Satisfied,1-2.5kg,2-4,Bronze
1950,E,Ship,5,1,3277305,2,medium,F,54,2158,No,Dissatisfied,1-2.5kg,2-4,Bronze
1951,D,Ship,4,3,2413140,2,low,M,29,1809,No,Neutral,1-2.5kg,2-4,Bronze
1952,E,Ship,5,1,2690325,3,low,F,27,1905,No,Dissatisfied,1-2.5kg,2-4,Bronze
1953,A,Ship,3,5,2201175,3,low,M,20,1772,No,Satisfied,1-2.5kg,2-4,Bronze
1954,B,Ship,4,4,4288215,2,medium,F,41,3955,No,Satisfied,2.5-4kg,2-4,Bronze
1955,C,Ship,5,4,3717540,3,medium,M,20,3382,No,Satisfied,2.5-4kg,2-4,Bronze
1956,E,Ship,6,5,4483875,5,medium,M,51,3569,No,Satisfied,2.5-4kg,4-6,Silver
1957,D,Ship,4,1,3652320,3,low,M,27,3400,No,Dissatisfied,2.5-4kg,2-4,Bronze
1958,E,Ship,3,1,3293610,3,low,F,1,3738,No,Dissatisfied,2.5-4kg,2-4,Bronze
1959,A,Ship,4,2,2657715,3,low,F,11,1926,No,Dissatisfied,1-2.5kg,2-4,Bronze
1960,B,Ship,4,5,4369740,3,low,F,64,2386,No,Satisfied,1-2.5kg,2-4,Bronze
1961,C,Ship,3,3,3375135,3,low,F,62,3277,No,Neutral,2.5-4kg,2-4,Bronze
1962,E,Ship,2,3,1907685,2,medium,M,36,1210,No,Neutral,1-2.5kg,2-4,Bronze
1963,D,Ship,2,1,2690325,4,low,F,57,1881,No,Dissatisfied,1-2.5kg,2-4,Bronze
1964,E,Ship,3,3,2951205,2,high,M,65,3234,No,Neutral,2.5-4kg,2-4,Bronze
1965,A,Ship,6,5,3456660,4,medium,F,13,3676,No,Satisfied,2.5-4kg,2-4,Bronze
1966,B,Ship,3,4,3684930,3,medium,F,26,2299,No,Satisfied,1-2.5kg,2-4,Bronze
1967,C,Ship,4,1,3179475,3,low,M,43,2849,No,Dissatisfied,2.5-4kg,2-4,Bronze
1968,E,Ship,4,5,4288215,2,medium,M,13,2779,No,Satisfied,2.5-4kg,2-4,Bronze
1969,D,Ship,4,4,2217480,2,medium,F,16,1131,No,Satisfied,1-2.5kg,2-4,Bronze
1970,E,Ship,3,5,2657715,2,low,F,49,1034,No,Satisfied,1-2.5kg,2-4,Bronze
1971,A,Ship,5,2,2347920,3,low,M,49,1202,No,Dissatisfied,1-2.5kg,2-4,Bronze
1972,B,Ship,4,4,3913200,3,low,F,62,3478,No,Satisfied,2.5-4kg,2-4,Bronze
1973,C,Ship,4,5,3962115,2,low,M,19,2829,No,Satisfied,2.5-4kg,2-4,Bronze
1974,E,Ship,5,1,3277305,3,medium,M,19,2696,No,Dissatisfied,2.5-4kg,2-4,Bronze
1975,D,Ship,5,3,3945810,3,low,M,58,3411,No,Neutral,2.5-4kg,2-4,Bronze
1976,E,Ship,3,1,3049035,2,high,M,56,3774,No,Dissatisfied,2.5-4kg,2-4,Bronze
1977,A,Ship,4,3,2641410,3,low,M,53,1194,No,Neutral,1-2.5kg,2-4,Bronze
1978,B,Ship,3,3,2396835,3,low,M,16,1563,No,Neutral,1-2.5kg,2-4,Bronze
1979,C,Ship,3,4,4369740,2,high,F,39,2822,No,Satisfied,2.5-4kg,2-4,Bronze
1980,E,Ship,4,3,3864285,3,low,M,57,3952,No,Neutral,2.5-4kg,2-4,Bronze
1981,D,Ship,3,2,2559885,2,low,M,29,1115,No,Dissatisfied,1-2.5kg,2-4,Bronze
1982,E,Ship,4,2,2869680,3,medium,F,12,1750,No,Dissatisfied,1-2.5kg,2-4,Bronze
1983,A,Ship,4,5,2184870,4,low,M,36,1191,No,Satisfied,1-2.5kg,2-4,Bronze
1984,B,Ship,3,4,3815370,2,medium,M,52,3543,No,Satisfied,2.5-4kg,2-4,Bronze
1985,C,Ship,3,3,2510970,2,low,F,57,1096,No,Neutral,1-2.5kg,2-4,Bronze
1986,E,Ship,2,1,3407745,5,low,F,64,2016,No,Dissatisfied,1-2.5kg,4-6,Silver
1987,D,Ship,5,4,2250090,2,medium,M,38,1803,No,Satisfied,1-2.5kg,2-4,Bronze
1988,E,Ship,2,3,2462055,3,medium,M,22,1024,No,Neutral,1-2.5kg,2-4,Bronze
1989,A,Ship,4,4,4108860,6,medium,M,44,2676,No,Satisfied,2.5-4kg,4-6,Silver
1990,B,Ship,3,1,2527275,2,medium,F,6,1490,No,Dissatisfied,1-2.5kg,2-4,Bronze
1991,C,Ship,3,3,2266395,4,high,M,17,1137,No,Neutral,1-2.5kg,2-4,Bronze
1992,E,Ship,4,5,4206690,3,medium,F,37,2289,No,Satisfied,1-2.5kg,2-4,Bronze
1993,D,Ship,4,2,2804460,3,low,M,1,1182,No,Dissatisfied,1-2.5kg,2-4,Bronze
1994,E,Ship,4,3,3896895,3,low,F,28,2741,No,Neutral,2.5-4kg,2-4,Bronze
1995,A,Ship,3,1,2690325,3,low,F,1,1417,No,Dissatisfied,1-2.5kg,2-4,Bronze
1996,B,Ship,4,5,2885985,2,low,M,47,1536,No,Satisfied,1-2.5kg,2-4,Bronze
1997,C,Ship,5,1,3049035,2,low,F,17,3513,No,Dissatisfied,2.5-4kg,2-4,Bronze
1998,E,Ship,6,2,2804460,2,low,M,41,1006,No,Dissatisfied,1-2.5kg,2-4,Bronze
1999,D,Ship,4,4,2739240,3,low,F,35,1434,No,Satisfied,1-2.5kg,2-4,Bronze
2000,E,Ship,3,4,4059945,3,low,M,31,3489,No,Satisfied,2.5-4kg,2-4,Bronze
2001,A,Ship,4,3,2201175,3,medium,F,11,1322,No,Neutral,1-2.5kg,2-4,Bronze
2002,B,Ship,4,3,2184870,3,medium,M,13,1985,No,Neutral,1-2.5kg,2-4,Bronze
2003,C,Ship,3,1,4386045,2,low,F,35,3524,No,Dissatisfied,2.5-4kg,2-4,Bronze
2004,E,Ship,6,5,3424050,5,high,M,37,3236,No,Satisfied,2.5-4kg,4-6,Silver
2005,D,Ship,5,4,4646925,6,high,M,63,3151,No,Satisfied,2.5-4kg,4-6,Silver
2006,E,Ship,4,2,3978420,2,medium,M,15,2857,No,Dissatisfied,2.5-4kg,2-4,Bronze
2007,A,Ship,3,2,3407745,2,low,F,24,2748,No,Dissatisfied,2.5-4kg,2-4,Bronze
2008,B,Ship,4,3,2510970,3,medium,M,52,1432,No,Neutral,1-2.5kg,2-4,Bronze
2009,C,Ship,3,2,2184870,3,medium,F,54,1932,No,Dissatisfied,1-2.5kg,2-4,Bronze
2010,E,Ship,3,5,2739240,4,medium,M,23,1347,No,Satisfied,1-2.5kg,2-4,Bronze
2011,D,Ship,4,5,4304520,3,medium,M,57,3753,No,Satisfied,2.5-4kg,2-4,Bronze
2012,E,Ship,4,2,4500180,6,high,F,36,2843,No,Dissatisfied,2.5-4kg,4-6,Silver
2013,A,Ship,3,4,3179475,3,medium,M,23,3499,No,Satisfied,2.5-4kg,2-4,Bronze
2014,B,Ship,5,3,2837070,5,medium,M,47,1909,No,Neutral,1-2.5kg,4-6,Silver
2015,C,Ship,3,4,3929505,3,low,F,50,3074,No,Satisfied,2.5-4kg,2-4,Bronze
2016,E,Ship,5,5,2706630,3,medium,F,20,1267,No,Satisfied,1-2.5kg,2-4,Bronze
2017,D,Ship,3,2,3097950,3,low,M,37,3315,No,Dissatisfied,2.5-4kg,2-4,Bronze
2018,E,Ship,3,1,3766455,2,low,F,12,2123,No,Dissatisfied,1-2.5kg,2-4,Bronze
2019,A,Ship,5,4,3358830,4,low,F,3,3755,No,Satisfied,2.5-4kg,2-4,Bronze
2020,B,Ship,4,4,3456660,3,medium,M,50,2073,No,Satisfied,1-2.5kg,2-4,Bronze
2021,C,Ship,3,5,3456660,3,low,F,2,2456,No,Satisfied,1-2.5kg,2-4,Bronze
2022,E,Ship,4,5,4011030,6,low,M,64,2271,No,Satisfied,1-2.5kg,4-6,Silver
2023,D,Ship,4,4,4304520,2,medium,F,12,2203,No,Satisfied,1-2.5kg,2-4,Bronze
2024,E,Ship,3,4,3391440,2,low,F,37,2537,No,Satisfied,2.5-4kg,2-4,Bronze
2025,A,Ship,3,4,3424050,3,low,F,7,2878,No,Satisfied,2.5-4kg,2-4,Bronze
2026,B,Ship,3,2,2983815,3,low,F,44,2896,No,Dissatisfied,2.5-4kg,2-4,Bronze
2027,C,Ship,4,2,4320825,3,low,F,41,3498,No,Dissatisfied,2.5-4kg,2-4,Bronze
2028,E,Ship,3,5,3049035,3,low,M,20,2374,No,Satisfied,1-2.5kg,2-4,Bronze
2029,D,Road,2,4,2983815,3,low,F,12,3090,No,Satisfied,2.5-4kg,2-4,Bronze
2030,E,Road,3,3,2869680,2,low,F,58,1730,No,Neutral,1-2.5kg,2-4,Bronze
2031,A,Road,4,5,4337130,3,medium,M,5,3718,No,Satisfied,2.5-4kg,2-4,Bronze
2032,B,Road,3,2,2331615,4,medium,F,22,1249,No,Dissatisfied,1-2.5kg,2-4,Bronze
2033,C,Road,3,4,3179475,2,medium,F,32,3719,No,Satisfied,2.5-4kg,2-4,Bronze
2034,E,Road,3,2,4304520,4,high,F,32,2754,No,Dissatisfied,2.5-4kg,2-4,Bronze
2035,D,Road,3,5,3962115,2,medium,M,42,3421,No,Satisfied,2.5-4kg,2-4,Bronze
2036,E,Road,5,2,2315310,2,low,F,55,1758,No,Dissatisfied,1-2.5kg,2-4,Bronze
2037,A,Road,4,2,2804460,2,low,M,23,1019,No,Dissatisfied,1-2.5kg,2-4,Bronze
2038,B,Road,4,1,4565400,3,medium,M,2,3366,No,Dissatisfied,2.5-4kg,2-4,Bronze
2039,C,Road,3,2,4141470,2,low,M,37,2469,No,Dissatisfied,1-2.5kg,2-4,Bronze
2040,E,Road,5,2,3293610,3,medium,M,34,3885,No,Dissatisfied,2.5-4kg,2-4,Bronze
2041,D,Road,5,3,1793550,5,low,M,21,1011,No,Neutral,1-2.5kg,4-6,Silver
2042,E,Road,4,4,2641410,2,medium,M,30,1158,No,Satisfied,1-2.5kg,2-4,Bronze
2043,A,Road,3,3,2983815,3,medium,M,21,2585,No,Neutral,2.5-4kg,2-4,Bronze
2044,B,Road,4,2,4239300,2,low,F,31,2805,No,Dissatisfied,2.5-4kg,2-4,Bronze
2045,C,Road,3,5,1777245,5,low,M,27,1581,No,Satisfied,1-2.5kg,4-6,Silver
2046,E,Road,3,3,4451265,4,low,M,12,2151,No,Neutral,1-2.5kg,2-4,Bronze
2047,D,Road,5,2,4271910,6,medium,M,10,3164,No,Dissatisfied,2.5-4kg,4-6,Silver
2048,E,Road,2,4,3896895,5,low,F,59,2181,No,Satisfied,1-2.5kg,4-6,Silver
2049,A,Road,3,2,3016425,2,high,F,49,3864,No,Dissatisfied,2.5-4kg,2-4,Bronze
2050,B,Road,4,4,4043640,3,medium,M,59,2868,No,Satisfied,2.5-4kg,2-4,Bronze
2051,C,Flight,5,4,2934900,2,low,M,52,1122,No,Satisfied,1-2.5kg,2-4,Bronze
2052,E,Flight,4,5,3603405,3,low,F,43,3561,No,Satisfied,2.5-4kg,2-4,Bronze
2053,D,Flight,3,5,2641410,2,low,M,28,1948,No,Satisfied,1-2.5kg,2-4,Bronze
2054,E,Flight,2,5,2641410,4,medium,M,49,1671,No,Satisfied,1-2.5kg,2-4,Bronze
2055,A,Flight,3,1,2364225,2,low,M,28,1313,No,Dissatisfied,1-2.5kg,2-4,Bronze
2056,B,Flight,5,3,3717540,3,medium,F,38,3631,No,Neutral,2.5-4kg,2-4,Bronze
2057,C,Flight,3,4,3195780,3,low,M,47,2447,No,Satisfied,1-2.5kg,2-4,Bronze
2058,E,Flight,3,4,4141470,2,high,M,56,3266,No,Satisfied,2.5-4kg,2-4,Bronze
2059,D,Flight,5,2,3505575,2,medium,M,46,3942,No,Dissatisfied,2.5-4kg,2-4,Bronze
2060,E,Flight,5,2,4320825,3,medium,F,33,2734,No,Dissatisfied,2.5-4kg,2-4,Bronze
2061,A,Flight,3,2,2820765,3,high,M,60,1582,No,Dissatisfied,1-2.5kg,2-4,Bronze
2062,B,Flight,4,2,3799065,7,medium,M,64,3146,No,Dissatisfied,2.5-4kg,6-10,Gold
2063,C,Flight,4,3,3472965,2,low,M,27,2034,No,Neutral,1-2.5kg,2-4,Bronze
2064,E,Flight,4,1,2021820,2,medium,M,22,1714,No,Dissatisfied,1-2.5kg,2-4,Bronze
2065,D,Flight,3,4,2543580,4,medium,F,7,1492,No,Satisfied,1-2.5kg,2-4,Bronze
2066,E,Flight,3,1,4320825,3,medium,M,11,2194,No,Dissatisfied,1-2.5kg,2-4,Bronze
2067,A,Flight,3,1,2266395,3,high,F,6,1269,No,Dissatisfied,1-2.5kg,2-4,Bronze
2068,B,Flight,2,4,3668625,10,high,M,46,2690,No,Satisfied,2.5-4kg,6-10,Gold
2069,C,Flight,5,4,2902290,7,medium,F,36,1179,No,Satisfied,1-2.5kg,6-10,Gold
2070,E,Flight,3,4,3097950,10,medium,F,32,2064,No,Satisfied,1-2.5kg,6-10,Gold
2071,D,Flight,3,4,4434960,10,medium,M,63,2455,No,Satisfied,1-2.5kg,6-10,Gold
2072,E,Flight,3,1,2494665,2,medium,F,51,1841,No,Dissatisfied,1-2.5kg,2-4,Bronze
2073,A,Ship,3,1,3831675,10,low,M,7,2991,No,Dissatisfied,2.5-4kg,6-10,Gold
2074,B,Ship,5,1,3489270,3,low,M,33,2562,No,Dissatisfied,2.5-4kg,2-4,Bronze
2075,C,Ship,3,4,2853375,2,low,F,2,1072,No,Satisfied,1-2.5kg,2-4,Bronze
2076,E,Ship,3,1,2869680,3,low,F,63,1420,No,Dissatisfied,1-2.5kg,2-4,Bronze
2077,D,Ship,3,4,2804460,10,high,F,23,1875,No,Satisfied,1-2.5kg,6-10,Gold
2078,E,Ship,5,2,3179475,6,low,M,35,1852,No,Dissatisfied,1-2.5kg,4-6,Silver
2079,A,Ship,3,5,4418655,4,low,F,10,1679,No,Satisfied,1-2.5kg,2-4,Bronze
2080,B,Ship,5,4,3717540,3,medium,M,42,3145,No,Satisfied,2.5-4kg,2-4,Bronze
2081,C,Ship,3,4,3195780,3,low,F,52,2129,No,Satisfied,1-2.5kg,2-4,Bronze
2082,E,Ship,3,1,4141470,2,high,F,60,3590,No,Dissatisfied,2.5-4kg,2-4,Bronze
2083,D,Ship,5,4,3505575,2,medium,M,34,2713,No,Satisfied,2.5-4kg,2-4,Bronze
2084,E,Ship,5,5,4320825,3,medium,M,46,3997,No,Satisfied,2.5-4kg,2-4,Bronze
2085,A,Ship,3,2,2820765,3,high,M,40,1723,No,Dissatisfied,1-2.5kg,2-4,Bronze
2086,B,Ship,4,2,3799065,7,medium,M,56,3925,No,Dissatisfied,2.5-4kg,6-10,Gold
2087,C,Ship,4,4,3472965,2,low,F,27,2938,No,Satisfied,2.5-4kg,2-4,Bronze
2088,E,Ship,4,2,2021820,2,medium,M,50,1592,No,Dissatisfied,1-2.5kg,2-4,Bronze
2089,D,Ship,3,5,2543580,4,medium,F,26,1769,No,Satisfied,1-2.5kg,2-4,Bronze
2090,E,Ship,3,1,4320825,3,medium,F,61,3010,No,Dissatisfied,2.5-4kg,2-4,Bronze
2091,A,Ship,3,2,2266395,3,high,F,4,1546,No,Dissatisfied,1-2.5kg,2-4,Bronze
2092,B,Ship,2,4,3668625,10,high,M,56,3384,No,Satisfied,2.5-4kg,6-10,Gold
2093,C,Ship,5,4,2902290,7,medium,M,52,1824,No,Satisfied,1-2.5kg,6-10,Gold
2094,E,Ship,3,3,3097950,10,medium,M,4,3062,No,Neutral,2.5-4kg,6-10,Gold
2095,D,Ship,3,5,4434960,10,medium,M,59,2182,No,Satisfied,1-2.5kg,6-10,Gold
2096,E,Ship,3,4,2494665,2,medium,M,37,1740,No,Satisfied,1-2.5kg,2-4,Bronze
2097,A,Ship,3,1,3831675,10,low,M,56,2175,No,Dissatisfied,1-2.5kg,6-10,Gold
2098,B,Ship,5,4,3489270,3,low,M,52,3403,No,Satisfied,2.5-4kg,2-4,Bronze
2099,C,Ship,3,5,2853375,2,low,F,40,1460,No,Satisfied,1-2.5kg,2-4,Bronze
2100,E,Ship,3,2,2869680,3,low,F,29,1953,No,Dissatisfied,1-2.5kg,2-4,Bronze
2101,D,Ship,3,1,2804460,10,high,F,30,1294,No,Dissatisfied,1-2.5kg,6-10,Gold
2102,E,Ship,5,1,3179475,6,low,F,29,1039,No,Dissatisfied,1-2.5kg,4-6,Silver
2103,A,Ship,3,5,2674020,3,low,M,61,1473,No,Satisfied,1-2.5kg,2-4,Bronze
2104,B,Ship,3,1,3766455,3,medium,F,33,2755,No,Dissatisfied,2.5-4kg,2-4,Bronze
2105,C,Ship,5,5,4043640,3,medium,F,9,3873,No,Satisfied,2.5-4kg,2-4,Bronze
2106,E,Ship,4,5,3864285,2,medium,F,60,3427,No,Satisfied,2.5-4kg,2-4,Bronze
2107,D,Ship,3,1,1809855,4,low,F,8,1620,No,Dissatisfied,1-2.5kg,2-4,Bronze
2108,E,Ship,5,5,1728330,5,low,F,46,1275,No,Satisfied,1-2.5kg,4-6,Silver
2109,A,Ship,4,2,2266395,3,low,M,29,1365,No,Dissatisfied,1-2.5kg,2-4,Bronze
2110,B,Ship,4,3,2429445,2,low,F,58,1657,No,Neutral,1-2.5kg,2-4,Bronze
2111,C,Ship,4,5,2934900,3,low,F,24,1513,No,Satisfied,1-2.5kg,2-4,Bronze
2112,E,Ship,3,2,3456660,2,medium,F,65,3776,No,Dissatisfied,2.5-4kg,2-4,Bronze
2113,D,Ship,4,2,2983815,3,low,M,5,3716,No,Dissatisfied,2.5-4kg,2-4,Bronze
2114,E,Ship,6,4,2674020,5,low,M,20,1555,No,Satisfied,1-2.5kg,4-6,Silver
2115,A,Ship,4,1,2331615,3,medium,F,28,1197,No,Dissatisfied,1-2.5kg,2-4,Bronze
2116,B,Ship,3,3,2641410,2,medium,M,5,1202,No,Neutral,1-2.5kg,2-4,Bronze
2117,C,Ship,4,2,3293610,4,medium,M,56,3098,No,Dissatisfied,2.5-4kg,2-4,Bronze
2118,E,Ship,3,2,2201175,2,medium,F,2,1150,No,Dissatisfied,1-2.5kg,2-4,Bronze
2119,D,Ship,3,2,3782760,2,low,F,58,2054,No,Dissatisfied,1-2.5kg,2-4,Bronze
2120,E,Ship,3,3,3554490,3,low,M,19,3770,No,Neutral,2.5-4kg,2-4,Bronze
2121,A,Ship,5,4,2885985,2,low,M,14,1735,No,Satisfied,1-2.5kg,2-4,Bronze
2122,B,Ship,4,4,2739240,2,medium,M,63,1474,No,Satisfied,1-2.5kg,2-4,Bronze
2123,C,Ship,3,4,2951205,2,medium,F,45,3448,No,Satisfied,2.5-4kg,2-4,Bronze
2124,E,Ship,3,2,3880590,2,low,F,29,3728,No,Dissatisfied,2.5-4kg,2-4,Bronze
2125,D,Ship,3,2,4076250,5,low,F,36,2717,No,Dissatisfied,2.5-4kg,4-6,Silver
2126,E,Ship,3,1,2478360,2,low,F,25,1848,No,Dissatisfied,1-2.5kg,2-4,Bronze
2127,A,Ship,4,5,3945810,4,low,F,35,3215,No,Satisfied,2.5-4kg,2-4,Bronze
2128,B,Ship,3,1,3847980,2,high,M,2,3949,No,Dissatisfied,2.5-4kg,2-4,Bronze
2129,C,Ship,4,1,3880590,4,low,F,22,3950,No,Dissatisfied,2.5-4kg,2-4,Bronze
2130,E,Ship,4,4,2690325,5,low,M,21,1727,No,Satisfied,1-2.5kg,4-6,Silver
2131,D,Ship,4,2,4418655,3,medium,M,50,3448,No,Dissatisfied,2.5-4kg,2-4,Bronze
2132,E,Ship,3,3,1777245,2,medium,M,18,1661,No,Neutral,1-2.5kg,2-4,Bronze
2133,A,Ship,4,1,3831675,3,high,F,22,3695,No,Dissatisfied,2.5-4kg,2-4,Bronze
2134,B,Ship,3,3,3032730,3,medium,M,49,2356,No,Neutral,1-2.5kg,2-4,Bronze
2135,C,Ship,4,1,3293610,2,low,M,40,2327,No,Dissatisfied,1-2.5kg,2-4,Bronze
